post_id,post_text,user_id,username,image_id,timestamp,label
VovinPrgel,refugees_1,,,refugees_1,Tue Jan 12 20:08:27 +0000 2016,fake
643498101165137921,Willkommen..!! http://t.co/yLvLNMr1pW,563819167,FabriBerta,refugees_1,Mon Sep 14 18:54:37 +0000 2015,fake
691324169728892928,Bienvenue en Allemagne  https://t.co/GEYeww6gz5,1461552590,83Django,refugees_1,Sun Jan 24 18:18:20 +0000 2016,fake
688780462203006976,RT @Megafauna2: @AmyMek @anonym_exmuslim @creepingsharia @barenakedislam @iammrsc THIS is what happens when U let in 2 many Muslims! https:...,2990770013,PatColina,refugees_1,Sun Jan 17 17:50:33 +0000 2016,fake
317788846932770816,@IEarthPictures: Unbelievable Shot Of The 2012 Supermoon In Rio de Janeiro. http://t.co/0JIGcCL3q0 where the heck was I for this?,203986866,gabbydaviss,rio_moon_1,Sat Mar 30 00:02:19 +0000 2013,fake
725705340067573760,Dude I love to snowboard but this girl is my hero dude didn't even know about the bear... crazy https://t.co/OnfU8uTfjI,363716074,cidvicious6969,snowboard_girl_1,Thu Apr 28 15:16:50 +0000 2016,fake
443148818226610176,"ביזה באוקראינה
The unknown soldier steal geese from Crimean Tatars #Ukraine #Crimea http://t.co/LKmgorTLuQ",82405831,ZEATU,soldier_stealing_1,Mon Mar 10 22:18:06 +0000 2014,fake
739719450048352256,Little Syrian girl sells chewing gum on the street so she can feed herself... https://t.co/pGhagPBxHb,17517730,cjflines,syrian_children_1,Mon Jun 06 07:23:54 +0000 2016,fake
648058517430104064,#refugees wait to enter a refugee camp in Gevgelija #Macedonia. For @nytimes @nytimesphoto  https://t.co/sczah03cMb http://t.co/XeX2aKLUdh,422494755,Samuel_Aranda_,refugees_10,Sun Sep 27 08:56:05 +0000 2015,real
650974702194835456,RT @HumzaYousaf: For those think refugees come Europe for life of luxury -does this look like luxury? We wouldn't last a day in camps http:...,65211831,_AbuShayma,refugees_11,Mon Oct 05 10:03:58 +0000 2015,real
652419526630490112,"RT @BabarBloch: Hegyeshalom, #Hungary: Refugees long walk to freedom. #Europe provides sanctuary http://t.co/b093HjKA4A",819259538,gabrielaleu,refugees_12,Fri Oct 09 09:45:11 +0000 2015,real
688028684071088129,RT @Refugees: Today Mediterranean sea arrivals to Europe reach 1 million. 49% are from Syria.  https://t.co/nAUZy25H5X https://t.co/RgJ89LH...,3164342562,ShreySakhuja,refugees_13,Fri Jan 15 16:03:15 +0000 2016,real
686161466408435712,Titta på barnen. De satt närmare 30 barn i den här båten. Barn som flyr i en överfull båt över havet. https://t.co/YtTfJxXh6d,348374251,julianfirpo,refugees_14,Sun Jan 10 12:23:36 +0000 2016,real
692336769086398464,RT @Refugees: Vulnerable refugees + migrants are in need of protection + assistance. Our strategy: https://t.co/3PNso9q8nT #Europe https://...,2875267084,philomenanalty,refugees_15,Wed Jan 27 13:22:03 +0000 2016,real
692395995313917952,RT @UNRefugeeAgency: These Photos Show Another Face Of The #RefugeeCrisis: https://t.co/SDiePXmOnT #supportrefugees #refugees https://t.co/...,155909582,BabarBloch,refugees_16,Wed Jan 27 17:17:24 +0000 2016,real
715839940521824256,godless people of Syria https://t.co/yhByc45Lgt,3275569286,BloodMoonEufra8,syrian_children_2,Fri Apr 01 09:55:16 +0000 2016,real
